"","Date","Retail","Grocery and Pharmacy","Parks","Transit","Workplaces","Residential","Bus trips","Underground trips","DLR trips","Tram trips","Overground trips","Tfl rail trips","PRCP","TAVG","New cases","Total cases"
"1",2020-02-15,-10,-7,-33,-8,-4,3,5.9,3.79,0.33,0.08,0.56,0.19,0.13,53,0,1
"2",2020-02-16,-11,-11,-45,-10,-5,2,5.9,3.79,0.33,0.08,0.56,0.19,0.32,50,0,1
"3",2020-02-17,10,3,17,-4,-13,3,5.9,3.79,0.33,0.08,0.56,0.19,0.5,46,0,1
"4",2020-02-18,7,-2,8,-5,-12,3,5.9,3.79,0.33,0.08,0.56,0.19,0.01,44,0,1
"5",2020-02-19,5,-2,-5,-7,-12,3,5.9,3.79,0.33,0.08,0.56,0.19,0.09,44,0,1
"6",2020-02-20,2,-3,-11,-8,-13,4,5.9,3.79,0.33,0.08,0.56,0.19,0.05,46,0,1
"7",2020-02-21,3,0,9,-5,-13,3,5.9,3.79,0.33,0.08,0.56,0.19,0.19,46,0,1
"8",2020-02-22,-3,-2,-4,2,-2,1,5.9,3.79,0.33,0.08,0.56,0.19,0,52,0,1
"9",2020-02-23,-1,-2,-10,3,-3,0,5.9,3.79,0.33,0.08,0.56,0.19,0.02,52,0,1
"10",2020-02-24,-5,0,-7,-3,-1,2,5.9,3.79,0.33,0.08,0.56,0.19,0.13,49,1,2
"11",2020-02-25,-1,3,3,0,1,1,5.9,3.79,0.33,0.08,0.56,0.19,0.09,43,3,5
"12",2020-02-26,-1,1,6,-3,1,1,5.9,3.79,0.33,0.08,0.56,0.19,0.04,40,2,7
"13",2020-02-27,-1,0,-1,-2,0,1,5.9,3.79,0.33,0.08,0.56,0.19,0.15,40,2,9
"14",2020-02-28,-2,0,-10,-2,0,2,5.9,3.79,0.33,0.08,0.56,0.19,0.2,44,3,12
"15",2020-02-29,0,1,-20,-3,0,1,5.9,3.79,0.33,0.08,0.56,0.19,0.22,45,1,13
"16",2020-03-01,8,4,25,6,0,0,4.08,1.96,0.2,0.05,0.42,0.11,0.28,44,4,17
"17",2020-03-02,1,5,12,-3,1,1,4.08,1.96,0.2,0.05,0.42,0.11,0.2,42,12,29
"18",2020-03-03,1,3,4,-4,1,1,4.08,1.96,0.2,0.05,0.42,0.11,0.01,41,6,35
"19",2020-03-04,-1,2,-7,-4,1,2,4.08,1.96,0.2,0.05,0.42,0.11,0.03,40,18,53
"20",2020-03-05,-9,-3,-21,-5,-1,2,4.08,1.96,0.2,0.05,0.42,0.11,0.22,42,14,67
"21",2020-03-06,1,8,22,-1,0,1,4.08,1.96,0.2,0.05,0.42,0.11,0.4,42,24,91
"22",2020-03-07,1,4,4,0,0,1,4.08,1.96,0.2,0.05,0.42,0.11,0,46,15,106
"23",2020-03-08,-2,3,3,-2,-1,1,4.08,1.96,0.2,0.05,0.42,0.11,0.02,50,22,128
"24",2020-03-09,-3,6,4,-5,-1,2,4.08,1.96,0.2,0.05,0.42,0.11,0.09,46,52,180
"25",2020-03-10,-5,8,2,-6,-2,2,4.08,1.96,0.2,0.05,0.42,0.11,0.3,55,92,272
"26",2020-03-11,-3,9,14,-9,-3,3,4.08,1.96,0.2,0.05,0.42,0.11,0,52,183,455
"27",2020-03-12,-5,15,1,-13,-6,4,4.08,1.96,0.2,0.05,0.42,0.11,0.07,46,164,619
"28",2020-03-13,-10,16,7,-16,-10,6,4.08,1.96,0.2,0.05,0.42,0.11,0.06,47,135,754
"29",2020-03-14,-17,11,-5,-18,-5,4,4.08,1.96,0.2,0.05,0.42,0.11,0.11,49,150,904
"30",2020-03-15,-22,6,-15,-22,-9,4,4.08,1.96,0.2,0.05,0.42,0.11,0.03,49,165,1069
"31",2020-03-16,-11,23,35,-23,-19,8,4.08,1.96,0.2,0.05,0.42,0.11,0.09,46,233,1302
"32",2020-03-17,-22,21,4,-35,-30,12,4.08,1.96,0.2,0.05,0.42,0.11,0,48,311,1613
"33",2020-03-18,-25,31,5,-40,-38,16,4.08,1.96,0.2,0.05,0.42,0.11,0,53,355,1968
"34",2020-03-19,-28,34,-18,-43,-43,17,4.08,1.96,0.2,0.05,0.42,0.11,0.03,45,332,2300
"35",2020-03-20,-40,10,-2,-47,-45,20,4.08,1.96,0.2,0.05,0.42,0.11,0.03,45,426,2726
"36",2020-03-21,-58,-7,1,-53,-35,15,4.08,1.96,0.2,0.05,0.42,0.11,0,44,350,3076
"37",2020-03-22,-65,-22,11,-58,-41,13,4.08,1.96,0.2,0.05,0.42,0.11,0,44,437,3513
"38",2020-03-23,-55,-15,10,-59,-61,24,4.08,1.96,0.2,0.05,0.42,0.11,0,44,688,4201
"39",2020-03-24,-74,-26,0,-69,-70,30,4.08,1.96,0.2,0.05,0.42,0.11,0,47,634,4835
"40",2020-03-25,-76,-30,2,-74,-74,32,4.08,1.96,0.2,0.05,0.42,0.11,0,45,761,5596
"41",2020-03-26,-77,-32,2,-75,-76,33,4.08,1.96,0.2,0.05,0.42,0.11,0,44,765,6361
"42",2020-03-27,-79,-33,-5,-75,-75,34,4.08,1.96,0.2,0.05,0.42,0.11,0,45,818,7179
"43",2020-03-28,-84,-42,-41,-76,-63,22,4.08,1.96,0.2,0.05,0.42,0.11,0,45,576,7755
"44",2020-03-29,-87,-51,-50,-78,-62,18,4.08,1.96,0.2,0.05,0.42,0.11,0,41,595,8350
"45",2020-03-30,-77,-38,-28,-77,-78,32,4.08,1.96,0.2,0.05,0.42,0.11,0,42,866,9216
"46",2020-03-31,-77,-36,-10,-77,-78,33,4.08,1.96,0.2,0.05,0.42,0.11,0,43,934,10150
"47",2020-04-01,-78,-37,-15,-78,-78,34,0.94,0.18,0.04,0.01,0.03,0.02,0,41,979,11129
"48",2020-04-02,-78,-37,-7,-78,-78,34,0.94,0.18,0.04,0.01,0.03,0.02,0,48,1072,12201
"49",2020-04-03,-79,-35,0,-76,-77,34,0.94,0.18,0.04,0.01,0.03,0.02,0,49,982,13183
"50",2020-04-04,-82,-39,-3,-74,-62,21,0.94,0.18,0.04,0.01,0.03,0.02,0,49,766,13949
"51",2020-04-05,-83,-44,4,-73,-61,17,0.94,0.18,0.04,0.01,0.03,0.02,0,57,632,14581
