"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","2020-01-01","0.00",,"42",,"35"
"UKM00003772","HEATHROW, UK","2020-01-02","0.00",,"48",,"43"
"UKM00003772","HEATHROW, UK","2020-01-03","0.06",,"47",,
"UKM00003772","HEATHROW, UK","2020-01-04","0.02",,"44",,"36"
"UKM00003772","HEATHROW, UK","2020-01-05","0.00",,"46",,
"UKM00003772","HEATHROW, UK","2020-01-06","0.00",,"46",,
"UKM00003772","HEATHROW, UK","2020-01-07","0.03",,"49",,"39"
"UKM00003772","HEATHROW, UK","2020-01-08","0.01",,"53",,
"UKM00003772","HEATHROW, UK","2020-01-09","0.04",,"52",,
"UKM00003772","HEATHROW, UK","2020-01-10","0.17",,"43","47",
"UKM00003772","HEATHROW, UK","2020-01-11","0.00",,"49",,"41"
"UKM00003772","HEATHROW, UK","2020-01-12","0.02",,"49",,
"UKM00003772","HEATHROW, UK","2020-01-13","0.01",,"47",,"40"
"UKM00003772","HEATHROW, UK","2020-01-14","0.24",,"50","56",
"UKM00003772","HEATHROW, UK","2020-01-15","0.39",,"47",,
"UKM00003772","HEATHROW, UK","2020-01-16","0.12",,"49",,"41"
"UKM00003772","HEATHROW, UK","2020-01-17","0.18",,"46",,
"UKM00003772","HEATHROW, UK","2020-01-18","0.04",,"39",,
"UKM00003772","HEATHROW, UK","2020-01-19","0.00",,"38",,
"UKM00003772","HEATHROW, UK","2020-01-20","0.01",,"38",,"31"
"UKM00003772","HEATHROW, UK","2020-01-21","0.00",,"36",,"28"
"UKM00003772","HEATHROW, UK","2020-01-22","0.00",,"42",,"33"
"UKM00003772","HEATHROW, UK","2020-01-23","0.01",,"45",,
"UKM00003772","HEATHROW, UK","2020-01-24","0.00",,"44",,"43"
"UKM00003772","HEATHROW, UK","2020-01-25","0.00",,"43",,"42"
"UKM00003772","HEATHROW, UK","2020-01-26","0.01",,"47","51","42"
"UKM00003772","HEATHROW, UK","2020-01-27","0.11",,"45","49",
"UKM00003772","HEATHROW, UK","2020-01-28","0.35",,"40",,
"UKM00003772","HEATHROW, UK","2020-01-29","0.00",,"43",,"36"
"UKM00003772","HEATHROW, UK","2020-01-30","0.00",,"50","55","44"
"UKM00003772","HEATHROW, UK","2020-01-31","0.01",,"51",,"47"
"UKM00003772","HEATHROW, UK","2020-02-01","0.06",,"50","54",
"UKM00003772","HEATHROW, UK","2020-02-02","0.31",,"51",,
"UKM00003772","HEATHROW, UK","2020-02-03","0.02",,"49",,
"UKM00003772","HEATHROW, UK","2020-02-04","0.01",,"44",,"39"
"UKM00003772","HEATHROW, UK","2020-02-05","0.00",,"41",,
"UKM00003772","HEATHROW, UK","2020-02-06","0.00",,"38",,
"UKM00003772","HEATHROW, UK","2020-02-07","0.00",,"42",,"33"
"UKM00003772","HEATHROW, UK","2020-02-08","0.06",,"48",,
"UKM00003772","HEATHROW, UK","2020-02-09","0.00",,"51","56","45"
"UKM00003772","HEATHROW, UK","2020-02-10","0.50",,"45",,
"UKM00003772","HEATHROW, UK","2020-02-11","0.14",,"42","47","38"
"UKM00003772","HEATHROW, UK","2020-02-12","0.00",,"42",,"36"
"UKM00003772","HEATHROW, UK","2020-02-13","0.41",,"45",,
"UKM00003772","HEATHROW, UK","2020-02-14","0.06",,"45",,"35"
"UKM00003772","HEATHROW, UK","2020-02-15","0.13",,"53",,"50"
"UKM00003772","HEATHROW, UK","2020-02-16","0.32",,"50","56",
"UKM00003772","HEATHROW, UK","2020-02-17","0.50",,"46","53",
